"year","Pygoscelis papua","Pygoscelis antarcticus","Aptenodytes forsteri","Pygoscelis adeliae"
1971,4,37,0,0
1973,0,1,0,0
1974,0,0,1,0
1975,1,1,2,0
1976,0,6,1,1
1977,0,7,5,1
1978,0,15,3,7
1979,5,16,1,14
1980,6,42,1,23
1981,6,7,1,39
1982,4,2,0,27
1983,12,55,7,54
1984,12,32,1,62
1985,5,10,2,36
1986,9,20,7,42
1987,21,114,3,31
1988,14,12,2,31
1989,4,10,0,36
1990,7,13,2,37
1991,5,1,0,32
1992,9,7,0,31
1993,6,3,0,41
1994,13,12,0,33
1995,14,11,0,34
1996,19,13,0,42
1997,15,9,0,33
1998,12,16,0,43
1999,17,8,2,26
2000,12,14,5,32
2001,15,11,9,40
2002,14,6,4,35
2003,21,8,7,31
2004,21,8,8,39
2005,29,11,10,36
2006,36,14,10,41
2007,27,19,12,22
2008,66,20,14,28
2009,71,27,46,39
2010,65,32,12,47
2011,50,54,14,122
2012,47,22,14,24
2013,65,33,0,82
2014,55,29,0,9
2015,79,42,0,14
2016,76,47,0,10
2017,20,20,0,2
2018,38,14,0,11
