species,decimalLatitude,decimalLongitude,day,month,year
Pygoscelis papua,-64.66199999999999,-62.673,24.0,1.0,2018
Pygoscelis papua,-64.8383,-62.5327,29.0,12.0,2016
Pygoscelis papua,-63.9205,-60.8089,10.0,12.0,2016
Pygoscelis adeliae,-65.104,-64.0556,6.0,1.0,2018
Pygoscelis papua,-64.6405,-62.5691,1.0,1.0,2018
Pygoscelis papua,-62.45,-59.383,15.0,12.0,2016
Pygoscelis adeliae,-62.102,-57.9269,16.0,1.0,2018
Pygoscelis papua,-64.827,-63.4932,16.0,2.0,2018
Pygoscelis antarcticus,-64.1435,-60.9857,25.0,12.0,2016
Pygoscelis papua,-63.2989,-56.4831,1.0,1.0,2018
Pygoscelis antarcticus,-64.635,-62.553999999999995,14.0,1.0,2016
Pygoscelis adeliae,-62.0875,-57.9514,2.0,1.0,2018
Pygoscelis papua,-64.8149,-63.4968,22.0,12.0,2016
Pygoscelis antarcticus,-62.596000000000004,-59.918,7.0,12.0,2015
Pygoscelis papua,-64.6358,-62.5622,22.0,1.0,2016
Pygoscelis papua,-64.6358,-62.5622,12.0,12.0,2016
Pygoscelis antarcticus,-62.0875,-57.9514,2.0,1.0,2018
Pygoscelis antarcticus,-64.6358,-62.5622,17.0,11.0,2015
Pygoscelis adeliae,-66.8708,-66.7867,25.0,1.0,2018
Pygoscelis papua,-63.306000000000004,-56.498999999999995,1.0,1.0,2018
Pygoscelis papua,-64.6884,-62.6436,24.0,1.0,2018
Pygoscelis antarcticus,-64.6405,-62.5691,13.0,12.0,2015
Pygoscelis antarcticus,-64.6405,-62.5691,24.0,2.0,2016
Pygoscelis antarcticus,-62.9981,-60.5533,24.0,1.0,2015
Pygoscelis antarcticus,-61.278,-55.213,13.0,12.0,2016
Pygoscelis papua,-63.5425,-56.6834,11.0,12.0,2016
Pygoscelis papua,-64.66199999999999,-62.673,22.0,1.0,2015
Pygoscelis papua,-63.8964,-60.7762,17.0,1.0,2016
Pygoscelis papua,-64.8149,-63.4968,14.0,1.0,2016
Pygoscelis papua,-63.9205,-60.8089,10.0,12.0,2017
Pygoscelis papua,-65.104,-64.0556,6.0,1.0,2018
Pygoscelis papua,-64.734,-62.5938,15.0,12.0,2014
Pygoscelis papua,-64.625,-62.558,21.0,12.0,2016
Pygoscelis adeliae,-67.6042,-68.2089,,,2016
Pygoscelis antarcticus,-64.8236,-62.8581,14.0,12.0,2015
Pygoscelis papua,-61.278,-55.205,22.0,12.0,2015
Pygoscelis papua,-64.625,-62.558,16.0,1.0,2015
Pygoscelis adeliae,-66.875,-66.711,22.0,1.0,2016
Pygoscelis papua,-64.8833,-62.8667,13.0,12.0,2016
Pygoscelis papua,-62.542,-59.58,2.0,1.0,2018
Pygoscelis papua,-62.4071,-59.7517,4.0,12.0,2014
Pygoscelis antarcticus,-64.635,-62.553999999999995,24.0,2.0,2016
Pygoscelis antarcticus,-63.918,-60.733999999999995,1.0,1.0,2015
Pygoscelis papua,-64.66199999999999,-62.673,23.0,12.0,2016
Pygoscelis papua,-64.8231,-63.483999999999995,14.0,1.0,2014
Pygoscelis adeliae,-65.067,-64.02600000000001,1.0,1.0,2014
Pygoscelis papua,-63.8964,-60.7762,5.0,12.0,2015
Pygoscelis papua,-64.8149,-63.4968,14.0,1.0,2016
Pygoscelis papua,-64.8231,-63.483999999999995,8.0,1.0,2015
Pygoscelis antarcticus,-64.6358,-62.5622,25.0,1.0,2015
Pygoscelis adeliae,-66.87899999999999,-66.649,22.0,1.0,2016
